LON,LAT,CD_GEOCODI,Cep,Logradouro,Bairro,Cod Cidade,Cod Estado
-46.6336932,-23.5493251,355030878000005,1001000,Praça da Sé,Sé,8966,26
-46.6342517,-23.55046,355030878000005,1001001,Praça da Sé,Sé,8966,26
-46.6336815,-23.5513175,355030878000004,1001010,Rua Filipe de Oliveira,Sé,8966,26
-46.63475115,-23.54856015,355030878000006,1002000,Rua Direita,Sé,8966,26
-46.6353945,-23.548349,355030878000005,1002001,Rua Direita,Sé,8966,26
-46.6362725,-23.54758325,355030878000006,1002010,Praça do Patriarca,Sé,8966,26
-46.636831,-23.547091,355030878000006,1002020,Viaduto do Chá,Centro,8966,26
-46.6357037,-23.5489469,355030878000005,1003000,Rua José Bonifácio,Sé,8966,26
-46.635275,-23.548999,355030878000005,1003001,Rua José Bonifácio,Sé,8966,26
-46.6343569,-23.5495458,355030878000005,1004000,Rua Barão de Paranapiacaba,Sé,8966,26
-46.6351721,-23.55020765,355030878000005,1004010,Rua Quintino Bocaiúva,Sé,8966,26
-46.635077,-23.5498527,355030878000005,1005000,Rua Benjamim Constant,Sé,8966,26
-46.6367163,-23.5495599,355030878000005,1005010,Largo São Francisco,Sé,8966,26
-46.6382395,-23.5488386,355030878000005,1005020,Rua São Francisco,Sé,8966,26
-46.6428101,-23.5488974,355030866000008,1005030,Rua do Ouvidor,Sé,8966,26
-46.6358498,-23.5502991,355030878000005,1006000,Rua Senador Feijó,Sé,8966,26
-46.6348495,-23.5507244,355030878000005,1006001,Rua Senador Feijó,Sé,8966,26
-46.6360035,-23.549301,355030878000005,1006010,Rua Senador Paulo Egídio,Sé,8966,26
-46.636547,-23.550378,355030878000005,1006020,Rua Cristóvão Colombo,Sé,8966,26
-46.6376752,-23.5501893,355030878000035,1007000,Rua Riachuelo,Sé,8966,26
-46.6385329,-23.5492531,355030878000005,1007020,Praça da Bandeira,Centro,8966,26
-46.6364286,-23.5460035,355030878000006,1007040,Parque Anhangabaú,Centro,8966,26
-46.6362727,-23.5466581,355030878000006,1008000,Rua Líbero Badaró,Centro,8966,26
-46.6356245,-23.5462453,355030878000006,1008010,Rua Doutor Miguel Couto,Centro,8966,26
-46.6360751,-23.5461494,355030878000006,1009000,Rua Líbero Badaró,Centro,8966,26
-46.635546,-23.5469885,355030878000006,1010000,Rua São Bento,Centro,8966,26
-46.6349607,-23.5459648,355030878000006,1010001,Rua São Bento,Centro,8966,26
-46.6345473,-23.5457137,355030878000006,1010010,Praça Antônio Prado,Centro,8966,26
-46.636365,-23.5484365,355030878000005,1011000,Rua São Bento,Centro,8966,26
-46.6350343,-23.5459402,355030878000006,1011100,Rua São Bento,Centro,8966,26
-46.63474255,-23.5474761,355030878000006,1012001,Rua Álvares Penteado,Centro,8966,26
